,Ticker,BEst EPS,Basic Earnings per Share,Announcement Date,y,m,d
0,A,0.638,-0.99,20180214,2018,2,14
1,AAL,0.617,0.54,20180125,2018,1,25
2,AAP,1.822,2.5,20180221,2018,2,21
3,AAPL,2.92,3.92,20180201,2018,2,1
4,ABBV,1.499,0.03,20180126,2018,1,26
5,ABC,1.788,3.95,20180206,2018,2,6
6,ABT,0.704,-0.48,20180124,2018,1,24
7,ACN,1.741,1.82,20180322,2018,3,22
8,ADBE,1.332,1.02,20180315,2018,3,15
9,ADI,1.239,0.72,20180228,2018,2,28
10,ADM,0.616,1.4,20180206,2018,2,6
11,ADP,1.382,1.06,20180131,2018,1,31
12,ADS,4.872,4.91,20180125,2018,1,25
13,ADSK,0.159,-0.79,20180306,2018,3,6
14,AEE,0.54,-0.24,20180216,2018,2,16
15,AEP,1.005,0.81,20180125,2018,1,25
16,AES,0.29,-2.03,20180227,2018,2,27
17,AET,2.653,0.75,20180130,2018,1,30
18,AFL,0.87,2.995,20180131,2018,1,31
19,AGN,3.648,9.21,20180206,2018,2,6
20,AIG,1.263,-7.33,20180208,2018,2,8
21,AIV,0.07,1.68,20180201,2018,2,1
22,AIZ,1.8,5.79,20180208,2018,2,8
23,AJG,0.48,0.57,20180125,2018,1,25
24,AKAM,0.633,0.11,20180206,2018,2,6
25,ALB,1.192,-1.98,20180227,2018,2,27
26,ALGN,0.868,0.13,20180130,2018,1,30
27,ALK,2.057,3.03,20180125,2018,1,25
28,ALL,2.076,3.41,20180207,2018,2,7
29,ALLE,0.812,0.1,20180220,2018,2,20
30,ALXN,1.676,0.13,20180208,2018,2,8
31,AMAT,1.004,0.13,20180214,2018,2,14
32,AMD,0.019,0.06,20180130,2018,1,30
33,AME,0.69,1.03,20180201,2018,2,1
34,AMG,3.707,5.69,20180129,2018,1,29
35,AMGN,3.139,-5.89,20180201,2018,2,1
36,AMP,3.25,1.2,20180124,2018,1,24
37,AMT,0.827,0.51,20180227,2018,2,27
38,AMZN,3.543,3.85,20180201,2018,2,1
39,ANDV,1.404,5.66,20180215,2018,2,15
40,ANSS,0.967,0.62,20180221,2018,2,21
41,ANTM,4.035,4.8,20180131,2018,1,31
42,AON,1.784,-0.08,20180202,2018,2,2
43,AOS,0.56,0.13,20180130,2018,1,30
44,APA,0.236,1.2,20180222,2018,2,22
45,APC,-0.122,1.8,20180206,2018,2,6
46,APD,1.637,0.71,20180126,2018,1,26
47,APH,0.775,-0.34,20180124,2018,1,24
48,APTV,1.246,0.96,20180201,2018,2,1
49,ARE,0.464,0.39,20180129,2018,1,29
50,ARNC,0.363,-1.5478,20180205,2018,2,5
51,ATVI,0.418,-0.77,20180208,2018,2,8
52,AVB,1.155,1.72,20180131,2018,1,31
53,AVGO,4.507,15.2,20180315,2018,3,15
54,AVY,1.37,-0.66,20180131,2018,1,31
55,AWK,0.578,-0.01,20180220,2018,2,20
56,AXP,1.634,-1.41,20180118,2018,1,18
57,AYI,2.366,1.71,20180109,2018,1,9
58,AZO,12.365,10.17,20180227,2018,2,27
59,BA,2.545,5.25,20180131,2018,1,31
60,BAC,0.57,0.2,20180117,2018,1,17
61,BAX,0.624,-0.13,20180201,2018,2,1
62,BBT,0.888,0.78,20180118,2018,1,18
63,BBY,0.662,1.26,20180301,2018,3,1
64,BDX,2.544,-0.76,20180206,2018,2,6
65,BEN,0.699,-1.06,20180130,2018,1,30
66,BF-B,0.315,0.39,20180307,2018,3,7
67,BHF,2.15,5.58,20180212,2018,2,12
68,BHGE,0.22,-0.07,20180124,2018,1,24
69,BIIB,6.076,-1.41,20180125,2018,1,25
70,BK,0.984,1.09,20180118,2018,1,18
71,BKNG,10.348,-11.41,20180227,2018,2,27
72,BLK,6.11,14.29,20180112,2018,1,12
73,BLL,0.462,0.4548,20180207,2018,2,7
74,BMY,0.795,-1.42,20180205,2018,2,5
75,BSX,0.314,-0.45,20180201,2018,2,1
76,BWA,1.033,-0.7,20180208,2018,2,8
77,BXP,0.62,0.67,20180130,2018,1,30
78,C,1.505,-7.3269,20180116,2018,1,16
79,CA,0.614,-0.23,20180130,2018,1,30
80,CAG,0.402,0.55,20180322,2018,3,22
81,CAH,1.453,3.35,20180208,2018,2,8
82,CAT,2.147,-2.18,20180125,2018,1,25
83,CB,2.555,3.29,20180130,2018,1,30
84,CBOE,0.946,2.27,20180209,2018,2,9
85,CBRE,0.44,0.5,20180208,2018,2,8
86,CBS,1.21,-0.1,20180215,2018,2,15
87,CCI,0.271,0.17,20180124,2018,1,24
88,CCL,0.526,0.76,20180322,2018,3,22
89,CDNS,0.369,-0.05,20180131,2018,1,31
90,CELG,2.008,-0.1,20180125,2018,1,25
91,CERN,0.622,1.02,20180206,2018,2,6
92,CF,0.065,1.99,20180214,2018,2,14
93,CFG,0.722,1.35,20180119,2018,1,19
94,CHD,0.558,1.63,20180205,2018,2,5
95,CHRW,0.844,1.09,20180130,2018,1,30
96,CHTR,0.858,39.66,20180202,2018,2,2
97,CI,2.85,1.09,20180201,2018,2,1
98,CINF,0.805,3.92,20180207,2018,2,7
99,CL,0.731,0.37,20180126,2018,1,26
100,CLX,1.299,1.81,20180202,2018,2,2
101,CMA,1.365,0.65,20180116,2018,1,16
102,CMCSA,0.558,3.17,20180124,2018,1,24
103,CME,1.341,8.67,20180201,2018,2,1
104,CMG,2.046,1.56,20180206,2018,2,6
105,CMI,2.656,-1.66,20180206,2018,2,6
106,CMS,0.78,-0.01,20180214,2018,2,14
107,CNC,1.43,1.33,20180206,2018,2,6
108,CNP,0.399,3.01,20180222,2018,2,22
109,COF,2.191,-2.17,20180123,2018,1,23
110,COG,0.243,-0.1,20180223,2018,2,23
111,COL,1.733,1.71,20180126,2018,1,26
112,COO,2.88,-2.5,20180308,2018,3,8
113,COP,0.356,1.32,20180201,2018,2,1
114,COST,1.549,1.46,20180307,2018,3,7
115,COTY,0.156,0.15,20180208,2018,2,8
116,CPB,0.63,0.95,20180216,2018,2,16
117,CRM,0.371,0.09,20180228,2018,2,28
118,CSCO,0.618,-1.78,20180214,2018,2,14
119,CSX,0.69,4.63,20180116,2018,1,16
120,CTAS,1.408,1.26,20180322,2018,3,22
121,CTL,0.338,1.26,20180214,2018,2,14
122,CTSH,1.014,-0.03,20180207,2018,2,7
123,CTXS,1.023,-1.93,20180131,2018,1,31
124,CVS,1.221,3.23,20180208,2018,2,8
125,CVX,1.341,1.65,20180202,2018,2,2
126,CXO,0.516,1.8,20180220,2018,2,20
127,D,1.125,2.04,20180129,2018,1,29
128,DAL,1.723,0.81,20180111,2018,1,11
129,DE,2.831,-1.66,20180216,2018,2,16
130,DFS,1.629,0.99,20180124,2018,1,24
131,DG,1.156,2.63,20180315,2018,3,15
132,DGX,1.503,1.86,20180201,2018,2,1
133,DHI,0.69,0.5,20180131,2018,1,31
134,DHR,1.08,1.23,20180130,2018,1,30
135,DIS,1.589,2.93,20180206,2018,2,6
136,DISCA,0.537,-3.0026,20180227,2018,2,27
137,DISCK,0.537,-3.0026,20180227,2018,2,27
138,DISH,0.592,2.9706,20180221,2018,2,21
139,DLR,0.4,0.26,20180215,2018,2,15
140,DLTR,1.168,4.38,20180307,2018,3,7
141,DOV,0.85,1.9,20180130,2018,1,30
142,DPS,0.971,2.8222,20180214,2018,2,14
143,DRE,0.07,0.52,20180131,2018,1,31
144,DRI,1.303,0.69,20180322,2018,3,22
145,DTE,1.79,1.6034,20180216,2018,2,16
146,DUK,1.088,1.0043,20180220,2018,2,20
147,DVA,0.783,1.66,20180213,2018,2,13
148,DVN,0.59,0.35,20180220,2018,2,20
149,DWDP,1.155,-0.52,20180201,2018,2,1
150,DXC,2.06,2.72,20180208,2018,2,8
151,EA,1.107,-0.6,20180130,2018,1,30
152,EBAY,0.522,-2.51,20180131,2018,1,31
153,ECL,0.934,1.96,20180220,2018,2,20
154,ED,1.308,1.63,20180215,2018,2,15
155,EFX,1.38,1.44,20180301,2018,3,1
156,EIX,1.05,-1.67,20180222,2018,2,22
157,EL,0.987,0.33,20180202,2018,2,2
158,EMN,1.99,3.424,20180201,2018,2,1
159,EMR,0.694,0.61,20180206,2018,2,6
160,EOG,0.53,4.22,20180227,2018,2,27
161,EQIX,1.445,0.83,20180214,2018,2,14
162,EQR,0.305,0.34,20180130,2018,1,30
163,EQT,0.578,5.85,20180215,2018,2,15
164,ES,0.883,0.75,20180222,2018,2,22
165,ESRX,1.57,4.12,20180227,2018,2,27
166,ESS,1.09,1.57,20180207,2018,2,7
167,ETFC,0.678,0.48,20180125,2018,1,25
168,ETN,1.082,1.44,20180201,2018,2,1
169,ETR,1.13,-2.66,20180223,2018,2,23
170,EVHC,0.657,1.1,20180227,2018,2,27
171,EW,1.019,-0.0133,20180201,2018,2,1
172,EXC,0.8,1.94,20180207,2018,2,7
173,EXPD,0.549,0.94,20180220,2018,2,20
174,EXPE,0.067,0.36,20180208,2018,2,8
175,EXR,0.675,1.71,20180220,2018,2,20
176,F,0.424,0.606,20180124,2018,1,24
177,FAST,0.56,0.53,20180117,2018,1,17
178,FB,1.57,1.47,20180131,2018,1,31
179,FBHS,0.567,0.84,20180201,2018,2,1
180,FCX,0.436,0.71,20180125,2018,1,25
181,FDX,4.428,2.89,20180320,2018,3,20
182,FE,0.51,-5.62,20180220,2018,2,20
183,FFIV,2.094,1.42,20180124,2018,1,24
184,FIS,0.995,2.98,20180206,2018,2,6
185,FISV,0.681,1.285,20180207,2018,2,7
186,FITB,0.505,0.68,20180123,2018,1,23
187,FL,1.289,-0.4,20180302,2018,3,2
188,FLIR,0.434,-0.36,20180214,2018,2,14
189,FLR,0.573,0.43,20180220,2018,2,20
190,FLS,0.335,-0.81,20180215,2018,2,15
191,FMC,1.07,3.94,20180212,2018,2,12
192,FOX,0.532,0.99,20180207,2018,2,7
193,FOXA,0.532,0.99,20180207,2018,2,7
194,FRT,0.763,0.67,20180213,2018,2,13
195,FTI,0.329,-0.33,20180221,2018,2,21
196,FTV,0.688,0.97,20180208,2018,2,8
197,GD,2.466,2.14,20180124,2018,1,24
