gvkey,gvkeyx,from,thru,tic,co_conm,co_tic
9063,3,20030224,20170807,I0003,AUTONATION INC,AN
24893,3,20060103,20170828,I0003,WHOLE FOODS MARKET INC,WFM
4087,3,19640331,20170831,I0003,DU PONT (E I) DE NEMOURS,DD
15521,3,19981007,20170917,I0003,STAPLES INC,SPLS
13440,3,20141105,20171012,I0003,LEVEL 3 COMMUNICATIONS INC,LVLT
31802,3,20171205,20171205,I0003,DELPHI TECHNOLOGIES PLC,DLPH
2044,3,19750630,20180102,I0003,BARD (C.R.) INC,BCR
180167,3,20080701,20180306,I0003,SCRIPPS NETWORKS INTERACTIVE,SNI
15520,3,20150729,20180318,I0003,SIGNET JEWELERS LTD,SIG
27786,3,20060303,20180318,I0003,CHESAPEAKE ENERGY CORP,CHK
25880,3,20051011,20180318,I0003,PATTERSON COMPANIES INC,PDCO
26304,3,20151130,20180403,I0003,CSRA INC,CSRA
178507,3,20180404,,I0003,MSCI INC,MSCI
17120,3,20180319,,I0003,SVB FINANCIAL GROUP,SIVB
30137,3,20180319,,I0003,NEKTAR THERAPEUTICS,NKTR
64630,3,20180319,,I0003,TAKE-TWO INTERACTIVE SFTWR,TTWO
175955,3,20180307,,I0003,IPG PHOTONICS CORP,IPGP
186310,3,20180103,,I0003,HUNTINGTON INGALLS IND INC,HII
104432,3,20171013,,I0003,NORWEGIAN CRUISE LINE HLDGS,NCLH
13421,3,20170918,,I0003,CADENCE DESIGN SYSTEMS INC,CDNS
121382,3,20170901,,I0003,SBA COMMUNICATIONS CORP,SBAC
17928,3,20170829,,I0003,IQVIA HOLDINGS INC,IQV
31774,3,20170807,,I0003,BRIGHTHOUSE FINANL INC,BHF
9771,3,20170726,,I0003,SMITH (A O) CORP,AOS
13510,3,20170726,,I0003,DUKE REALTY CORP,DRE
14418,3,20170726,,I0003,MGM RESORTS INTERNATIONAL,MGM
31887,3,20170726,,I0003,RESMED INC,RMD
128978,3,20170726,,I0003,PACKAGING CORP OF AMERICA,PKG
32106,3,20170707,,I0003,BAKER HUGHES A GE CO,BHGE
5643,3,20170619,,I0003,HILTON WORLDWIDE HOLDINGS,HLT
61388,3,20170619,,I0003,EVEREST RE GROUP LTD,RE
63080,3,20170619,,I0003,ANSYS INC,ANSS
141384,3,20170619,,I0003,ALIGN TECHNOLOGY INC,ALGN
162906,3,20170602,,I0003,IHS MARKIT LTD,INFO
12441,3,20170405,,I0003,GARTNER INC,IT
3336,3,20170404,,I0003,DXC TECHNOLOGY COMPANY,DXC
1161,3,20170320,,I0003,ADVANCED MICRO DEVICES,AMD
8898,3,20170320,,I0003,RAYMOND JAMES FINANCIAL CORP,RJF
64821,3,20170320,,I0003,ALEXANDRIA R E EQUITIES INC,ARE
24975,3,20170316,,I0003,SYNOPSYS INC,SNPS
60900,3,20170313,,I0003,DISH NETWORK CORP,DISH
29099,3,20170302,,I0003,REGENCY CENTERS CORP,REG
184500,3,20170301,,I0003,CBOE GLOBAL MARKETS INC,CBOE
29127,3,20170228,,I0003,INCYTE CORP,INCY
30923,3,20170117,,I0003,TECHNIPFMC PLC,FTI
24197,3,20170105,,I0003,IDEXX LABS INC,IDXX
29649,3,20161202,,I0003,MID-AMERICA APT CMNTYS INC,MAA
65967,3,20161202,,I0003,ENVISION HEALTHCARE CORP,EVHC
28192,3,20161101,,I0003,ARCONIC INC,ARNC
12151,3,20161003,,I0003,COTY INC,COTY
3504,3,20160923,,I0003,COOPER COMPANIES INC,COO
126136,3,20160908,,I0003,CHARTER COMMUNICATIONS INC,CHTR
65772,3,20160906,,I0003,METTLER-TOLEDO INTL INC,MTD
26590,3,20160705,,I0003,FORTIVE CORP,FTV
11554,3,20160701,,I0003,ALLIANT ENERGY CORP,LNT
29751,3,20160701,,I0003,ALBEMARLE CORP,ALB
188255,3,20160624,,I0003,FORTUNE BRANDS HOME & SECUR,FBHS
148349,3,20160603,,I0003,TRANSDIGM GROUP INC,TDG
4973,3,20160531,,I0003,ARTHUR J GALLAGHER & CO,AJG
155394,3,20160523,,I0003,LKQ CORP,LKQ
160991,3,20160518,,I0003,DIGITAL REALTY TRUST INC,DLR
1230,3,20160513,,I0003,ALASKA AIR GROUP INC,ALK
146017,3,20160503,,I0003,ACUITY BRANDS INC,AYI
141913,3,20160425,,I0003,GLOBAL PAYMENTS INC,GPN
178704,3,20160418,,I0003,ULTA BEAUTY INC,ULTA
165052,3,20160408,,I0003,UNDER ARMOUR INC,UAA
11584,3,20160404,,I0003,FOOT LOCKER INC,FL
20904,3,20160330,,I0003,HOLOGIC INC,HOLX
145552,3,20160330,,I0003,CENTENE CORP,CNC
10894,3,20160307,,I0003,UDR INC,UDR
179437,3,20160304,,I0003,AMERICAN WATER WORKS CO INC,AWK
177884,3,20160222,,I0003,CONCHO RESOURCES INC,CXO
4605,3,20160201,,I0003,FEDERAL REALTY INVESTMENT TR,FRT
21825,3,20160201,,I0003,CITIZENS FINANCIAL GROUP INC,CFG
160479,3,20160119,,I0003,EXTRA SPACE STORAGE INC,EXR
144009,3,20160105,,I0003,WILLIS TOWERS WATSON PLC,WLTW
3026,3,20151229,,I0003,CHURCH & DWIGHT INC,CHD
138205,3,20151119,,I0003,ILLUMINA INC,ILMN
20686,3,20151118,,I0003,SYNCHRONY FINANCIAL,SYF
26156,3,20151102,,I0003,HEWLETT PACKARD ENTERPRISE,HPE
180652,3,20151008,,I0003,VERISK ANALYTICS INC,VRSK
12886,3,20150921,,I0003,TWENTY-FIRST CENTURY FOX INC,FOXA
18043,3,20150921,,I0003,NEWS CORP,NWSA
10795,3,20150903,,I0003,UNITED CONTINENTAL HLDGS INC,UAL
180405,3,20150831,,I0003,ACTIVISION BLIZZARD INC,ATVI
24616,3,20150720,,I0003,PAYPAL HOLDINGS INC,PYPL
145977,3,20150709,,I0003,ADVANCE AUTO PARTS INC,AAP
5568,3,20150703,,I0003,KRAFT HEINZ CO,KHC
29830,3,20150702,,I0003,WESTROCK CO,WRK
5783,3,20150701,,I0003,HUNT (JB) TRANSPRT SVCS INC,JBHT
64853,3,20150612,,I0003,QORVO INC,QRVO
30822,3,20150407,,I0003,REALTY INCOME CORP,O
1045,3,20150323,,I0003,AMERICAN AIRLINES GROUP INC,AAL
65290,3,20150323,,I0003,SL GREEN REALTY CORP,SLG
138743,3,20150323,,I0003,EQUINIX INC,EQIX
175319,3,20150323,,I0003,HANESBRANDS INC,HBI
61494,3,20150318,,I0003,SCHEIN (HENRY) INC,HSIC
1327,3,20150312,,I0003,SKYWORKS SOLUTIONS INC,SWKS
22260,3,20150127,,I0003,HCA HEALTHCARE INC,HCA
28191,3,20141205,,I0003,ROYAL CARIBBEAN CRUISES LTD,RCL
11032,3,20140922,,I0003,UNIVERSAL HEALTH SVCS INC,UHS
66065,3,20140922,,I0003,UNITED RENTALS INC,URI
164296,3,20140807,,I0003,DISCOVERY INC,DISCA
29733,3,20140702,,I0003,MARTIN MARIETTA MATERIALS,MLM
65886,3,20140701,,I0003,AFFILIATED MANAGERS GRP INC,AMG
150699,3,20140623,,I0003,CIMAREX ENERGY CO,XEC
180711,3,20140508,,I0003,BROADCOM INC,AVGO
165052,3,20140501,,I0003,UNDER ARMOUR INC,UAA
160329,3,20140403,,I0003,ALPHABET INC,GOOGL
30293,3,20140402,,I0003,ESSEX PROPERTY TRUST,ESS
29736,3,20140124,,I0003,TRACTOR SUPPLY CO,TSCO
25119,3,20131223,,I0003,MOHAWK INDUSTRIES INC,MHK
143974,3,20131223,,I0003,ALLIANCE DATA SYSTEMS CORP,ADS
170617,3,20131223,,I0003,FACEBOOK INC,FB
28119,3,20131210,,I0003,GGP INC,GGP
316056,3,20131202,,I0003,ALLEGION PLC,ALLE
198058,3,20131113,,I0003,MICHAEL KORS HOLDINGS LTD,KORS
1598,3,20130923,,I0003,AMETEK INC,AME
24344,3,20130923,,I0003,VERTEX PHARMACEUTICALS INC,VRTX
3851,3,20130911,,I0003,DELTA AIR LINES INC,DAL
100873,3,20130709,,I0003,NIELSEN HOLDINGS PLC,NLSN
18043,3,20130701,,I0003,NEWS CORP,NWSA
13721,3,20130624,,I0003,ZOETIS INC,ZTS
5073,3,20130607,,I0003,GENERAL MOTORS CO,GM
6335,3,20130524,,I0003,KANSAS CITY SOUTHERN,KSU
29868,3,20130509,,I0003,MACERICH CO,MAC
23812,3,20130501,,I0003,REGENERON PHARMACEUTICALS,REGN
8551,3,20130214,,I0003,PVH CORP,PVH
16101,3,20130102,,I0003,ABBVIE INC,ABBV
118122,3,20121224,,I0003,APTIV PLC,APTV
141459,3,20121212,,I0003,GARMIN LTD,GRMN
4016,3,20121203,,I0003,DOLLAR GENERAL CORP,DG
8463,3,20121001,,I0003,PENTAIR PLC,PNR
294524,3,20120905,,I0003,LYONDELLBASELL INDUSTRIES NV,LYB
150937,3,20120702,,I0003,SEAGATE TECHNOLOGY PLC,STX
24316,3,20120629,,I0003,MONSTER BEVERAGE CORP,MNST
6565,3,20120605,,I0003,LAM RESEARCH CORP,LRCX
6310,3,20120525,,I0003,KINDER MORGAN INC,KMI
62263,3,20120525,,I0003,ALEXION PHARMACEUTICALS INC,ALXN
170841,3,20120501,,I0003,PHILLIPS 66,PSX
113490,3,20120314,,I0003,CROWN CASTLE INTL CORP,CCI
199356,3,20111221,,I0003,TRIPADVISOR INC,TRIP
24782,3,20111219,,I0003,PERRIGO CO PLC,PRGO
28742,3,20111219,,I0003,BORGWARNER INC,BWA
31587,3,20111219,,I0003,DOLLAR TREE INC,DLTR
189491,3,20111101,,I0003,XYLEM INC,XYL
177267,3,20111017,,I0003,TE CONNECTIVITY LTD,TEL
162129,3,20110926,,I0003,MOSAIC CO,MOS
143357,3,20110706,,I0003,ACCENTURE PLC,ACN
186989,3,20110701,,I0003,MARATHON PETROLEUM CORP,MPC
165914,3,20110428,,I0003,CHIPOTLE MEXICAN GRILL INC,CMG
124434,3,20110404,,I0003,BLACKROCK INC,BLK
133366,3,20110401,,I0003,EDWARDS LIFESCIENCES CORP,EW
29173,3,20101220,,I0003,NEWFIELD EXPLORATION CO,NFX
121077,3,20101220,,I0003,F5 NETWORKS INC,FFIV
147579,3,20101220,,I0003,NETFLIX INC,NFLX
5959,3,20101117,,I0003,INGERSOLL-RAND PLC,IR
28034,3,20100715,,I0003,CHUBB LTD,CB
64410,3,20100628,,I0003,CARMAX INC,KMX
12850,3,20100430,,I0003,CERNER CORP,CERN
8151,3,20100315,,I0003,ONEOK INC,OKE
5581,3,20100301,,I0003,HELMERICH & PAYNE,HP
164296,3,20100301,,I0003,DISCOVERY INC,DISCA
2176,3,20100216,,I0003,BERKSHIRE HATHAWAY,BRK.B
135990,3,20100129,,I0003,NRG ENERGY INC,NRG
24925,3,20091223,,I0003,ROPER TECHNOLOGIES INC,ROP
9248,3,20091221,,I0003,ROSS STORES INC,ROST
179534,3,20091221,,I0003,VISA INC,V
119314,3,20091106,,I0003,BOOKING HOLDINGS INC,BKNG
4510,3,20090819,,I0003,FMC CORP,FMC
122841,3,20090727,,I0003,RED HAT INC,RHT
11399,3,20090701,,I0003,WESTERN DIGITAL CORP,WDC
66446,3,20090701,,I0003,QUANTA SERVICES INC,PWR
28180,3,20090327,,I0003,O'REILLY AUTOMOTIVE INC,ORLY
7970,3,20090317,,I0003,EVERSOURCE ENERGY,ES
5709,3,20090304,,I0003,HORMEL FOODS CORP,HRL
110179,3,20090304,,I0003,VENTAS INC,VTR
5543,3,20090130,,I0003,WELLTOWER INC,WELL
62374,3,20090106,,I0003,IRON MOUNTAIN INC,IRM
9445,3,20090102,,I0003,SCANA CORP,SCG
28477,3,20090102,,I0003,FLIR SYSTEMS INC,FLIR
4430,3,20081219,,I0003,EQT CORP,EQT
112168,3,20081205,,I0003,REPUBLIC SERVICES INC,RSG
63527,3,20081119,,I0003,STERICYCLE INC,SRCL
13700,3,20081114,,I0003,DENTSPLY SIRONA INC,XRAY
149318,3,20081114,,I0003,WYNN RESORTS LTD,WYNN
16245,3,20081113,,I0003,PEOPLE'S UNITED FINL INC,PBCT
9777,3,20081106,,I0003,SMUCKER (JM) CO,SJM
11550,3,20081031,,I0003,WEC ENERGY GROUP INC,WEC
149337,3,20081022,,I0003,NASDAQ INC,NDAQ
179700,3,20081007,,I0003,DR PEPPER SNAPPLE GROUP INC,DPS
4108,3,20081002,,I0003,FLOWSERVE CORP,FLS
14282,3,20080930,,I0003,AMPHENOL CORP,APH
14359,3,20080924,,I0003,PIONEER NATURAL RESOURCES CO,PXD
5492,3,20080922,,I0003,HARRIS CORP,HRS
